lichess_id,ply,result,risck_player
T6TfQHkm,125,1/2-1/2,White
1KbCNjmq,62,0-1,Black
XZ0DXqxR,99,1-0,White
BPom3LVw,64,1-0,Black
V2KOFnsP,68,0-1,Black
wekLO9ki,61,0-1,White
5FCJVGYm,33,1-0,White
9NMgjk0R,57,1-0,White
vWSi99nK,72,0-1,Black
hdbYnK0c,61,1-0,White
NJQUW5xj,96,0-1,Black
AMz03XZN,84,1/2-1/2,Black
AMz03XZN,90,1/2-1/2,Black
BL86nk9r,54,0-1,Black
b6Ykwvlj,76,0-1,Black
xBCWPBF4,115,1-0,White
qPqk4LXA,91,1-0,White
8EGKhH2l,142,0-1,Black
KMOuZpeB,97,1/2-1/2,White
crXiMgi4,75,0-1,White
2HnyT2Ur,85,1-0,White
E7iabVG3,129,1-0,White
b9HuRRMM,70,0-1,Black
b9HuRRMM,74,0-1,Black
HsBzDvmt,67,1-0,White
HsBzDvmt,90,1-0,Black
59aEToxk,69,0-1,White
e6UyMiOi,96,1-0,Black
yxVXQOss,61,0-1,White
PIp6AHlg,78,0-1,Black
x0swKHs9,63,1-0,White
fMQcS1fp,74,0-1,Black
VZEao2hb,86,0-1,Black
7cRLbKp8,64,0-1,Black
HiGdhDBf,127,0-1,White
NBR8Pikb,76,0-1,Black
T5DeDYRk,56,0-1,Black
6uoeDPOs,70,0-1,Black
6uoeDPOs,78,0-1,Black
8PacAoGC,92,1-0,Black
RCTWN9rN,91,1-0,White
ohORlU2d,76,1-0,Black
pDIB2poi,80,0-1,Black
PzdLDVdo,55,1-0,White
tIcknOIP,56,0-1,Black
6z91ojn4,142,0-1,Black
edJqdqWr,57,1-0,White
dgVmnoAK,65,1-0,White
Oo12OKa8,69,1-0,White
FulNz5CB,80,0-1,Black
rxrRhJx2,51,1-0,White
LwCR46XK,79,1-0,White
kKwoHY59,47,1-0,White
EtgCqeWg,88,0-1,Black
tPj2qaWy,70,0-1,Black
U7EgWFEl,61,1-0,White
nmra9wBb,77,0-1,White
kBGrREg2,62,0-1,Black
9jjKHveV,71,1-0,White
0FNNOd6V,92,0-1,Black
T6KUOTLw,55,1-0,White
cB4mZfsn,93,1-0,White
UKqjZqTF,59,0-1,White
0RTwWbDU,83,0-1,White
xZPAffvR,63,1-0,White
TNklgjbK,106,1-0,Black
8LiJelrK,124,0-1,Black
9Y96GQxU,58,0-1,Black
NYmFk8St,95,0-1,White
P9esY7sd,59,1-0,White
QwFHFXJL,100,1-0,Black
Nuqcd5Eb,89,1-0,White
CMbfWgXF,58,0-1,Black
OzDRUjaz,119,1/2-1/2,White
VObosb6t,78,0-1,Black
